ID,Date,Tweet
1643319473737281538,2023-04-04 18:27:48+00:00,RECOVERY=MORE ECONOMIC/DEMOGRAPHIC/MILITARY/DEBT INFLATION=push more humans into nature wipeout/climate change fallout/natural disasters/wars over resources/migration &amp; blame bankruptcies/closures on Russia/China &amp; covid=more humans now in poverty than all humans alive 70yrs ago
1643319439658475521,2023-04-04 18:27:40+00:00,@ProudElephantUS @HellOnHeels2020 And what about his beach mansion? All those climate change hypocrites live on beaches....where wind turbines are legally forbidden so as not to ruin their views.
1643319421354516483,2023-04-04 18:27:36+00:00,RECOVERY=MORE ECONOMIC/DEMOGRAPHIC/MILITARY/DEBT INFLATION=push more humans into nature wipeout/climate change fallout/natural disasters/wars over resources/migration &amp; blame bankruptcies/closures on Russia/China &amp; covid=more humans now in poverty than all humans alive 70yrs ago
1643319401989521408,2023-04-04 18:27:31+00:00,"Evelyn von Warnitz added a logline titled An Amazing Life #Stage32 https://t.co/Pbsj4NYdar via @Stage32 

#amwriting #screenwriting #climatechange"
1643319364307808262,2023-04-04 18:27:22+00:00,@RoyalAviaire Reversed climate change
1643319322901901313,2023-04-04 18:27:12+00:00,@5ireChain amazes me with how they approach climate change. I am following their #5ireThunder testnet. Sustainability is at the core of their blockchain development. These are huge steps towards saving the planet. 🌏
1643319306191785986,2023-04-04 18:27:08+00:00,Just Transition Organiser – 2 year Fixed-Term Contract https://t.co/mxLnzeGnZj #jobs #climatechange
1643319300844032001,2023-04-04 18:27:07+00:00,Civil Engineering Project Manager - Fast-growing EHV Contractor https://t.co/OgPc2IFfmE #jobs #climatechange
1643319295311740928,2023-04-04 18:27:06+00:00,Renewable Energy Planner (Renewable Energy) https://t.co/Kuc3ndmAhU #jobs #climatechange
1643319288990711808,2023-04-04 18:27:04+00:00,Climate Change Has Come For The Midwest if This Pattern Persists https://t.co/nUt6xmOkyp
